Entry, Register(Num), Data Label, Unit, Scale, Access                              Total Entries: 1072
  466, 36798(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  467, 36799(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  468, 36800(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  469, 36801(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  470, 36802(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  471, 36803(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  472, 36804(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  473, 36805(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  474, 36806(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  475, 36807(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  476, 36808(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  477, 36809(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  478, 36810(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  479, 36811(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  480, 36812(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  481, 36813(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  482, 36814(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  483, 36815(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  484, 36816(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  485, 36817(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  486, 36818(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  487, 36819(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  488, 36820(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  489, 36821(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  490, 36822(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  491, 36823(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  492, 36824(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  493, 36825(1), Cell Temperature High Threshold (Threshold settings for a Cell), deg F, x10, RO
  494, 37106(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  495, 37107(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  496, 37108(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  497, 37109(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  498, 37110(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  499, 37111(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  500, 37112(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  501, 37113(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  502, 37114(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  503, 37115(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  504, 37116(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  505, 37117(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  506, 37118(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  507, 37119(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  508, 37120(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  509, 37121(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  510, 37122(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  511, 37123(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  512, 37124(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
  513, 37125(1), Internal Resistance Low Threshold (Threshold settings for a Cell), microOhm, x1, RO
